OwnerID, FullName, PhoneNumber, LicenseNumber, InsuranceCompany ,Address
1, John Doe,5551234, DL123456, Allstate, 123 Main St Los Angeles CA
2, Jane Smith,5555678, DL789012, Geico, 456 Elm St New York NY
3, Robert Johnson,5559012, DL345678, State Farm, 789 Oak St Chicago IL
4, Emily Davis,5553456, DL901234, Progressive, 321 Pine St Houston TX
5, Michael Brown,5557890, DL567890, Liberty Mutual, 654 Cedar St Phoenix AZ
6, Sarah Wilson,5552345, DL112233, Nationwide, 987 Birch St Philadelphia PA
7, David Martinez,5556789, DL445566, Farmers, 741 Maple St San Antonio TX
8, Emma Garcia,5550123, DL778899, USAA, 852 Walnut St San Diego CA
9, James Rodriguez,5554567, DL998877, Travelers, 963 Spruce St Dallas TX
10, Sophia Lee,5558901, DL223344, MetLife, 147 Chestnut St San Jose CA
11, Daniel White,5556781, DL556677, The General, 258 Aspen St Austin TX
12, Olivia Harris,5554321, DL889900, Erie Insurance, 369 Redwood St Jacksonville FL
13, Liam Thompson,5558765, DL334455, AAA, 123 Cypress St San Francisco CA
14, Isabella Robinson,5553457, DL667788, American Family, 456 Magnolia St Indianapolis IN
15, William Clark,5556543, DL112244, The Hartford, 789 Poplar St Columbus OH
16, Mia Lewis,5559087, DL223355, Amica, 321 Sequoia St Charlotte NC
17, Alexander Walker,5551098, DL556688, Safeco, 654 Dogwood St Fort Worth TX
18, Charlotte Allen,5552109, DL889911, Esurance, 987 Beech St Detroit MI
19, Benjamin Young,5553210, DL334466, Hanover, 741 Mahogany St El Paso TX
20, Amelia Hall,5554325, DL667799, American Modern, 852 Hickory St Boston MA
21, Lucas King,5555432, DL223366, Cincinnati Insurance, 963 Juniper St Memphis TN
22, Evelyn Scott,5556541, DL556699, Country Financial, 147 Sycamore St Denver CO
23, Mason Green,5557654, DL889922, Plymouth Rock, 258 Alder St Baltimore MD
24, Harper Adams,5558763, DL334477, The Hanover, 369 Fir St Louisville KY
25, Elijah Baker,5559876, DL667700, Elephant, 123 Elm St Milwaukee WI
26, Abigail Nelson,5553452, DL112255, Clearcover, 456 Oak St Albuquerque NM
27, Henry Carter,5556549, DL223377, Safe Auto, 789 Pine St Tucson AZ
28, Sofia Perez,5559870, DL556700, Direct Auto, 321 Cedar St Fresno CA
29, Sebastian Torres,5552108, DL889933, Dairyland, 654 Birch St Sacramento CA
30, Avery Murphy,5554328, DL334488, Infinity, 987 Maple St Kansas City MO
31, Jack Reed,5558768, DL667711, Acceptance, 741 Chestnut St Atlanta GA
32, Scarlett Cook,5552102, DL223388, Gainsco, 852 Spruce St Omaha NE
33, Daniel Parker,5553216, DL556711, Safeway, 963 Aspen St Miami FL
34, Lillian Bennett,5557650, DL889944, The General, 147 Redwood St Cleveland OH
35, Wyatt Sanders,5556547, DL334499, Amigo, 258 Cypress St Virginia Beach VA
